Cell ID,Cell Type,Fr,h,modU,vel_0,vel_1,vel_2,vel_Magnitude,z
8381,9,1.02489,1.08038,3.33656,3.33656,-6.19692e-05,0,3.33656,1.185
8382,9,1.0264,1.08199,3.34396,3.34396,-6.75447e-05,0,3.34396,1.175
8383,9,1.02785,1.08362,3.35124,3.35124,-6.16622e-05,0,3.35124,1.165
8384,9,1.0294,1.08518,3.35868,3.35868,-4.5396e-05,0,3.35868,1.155
8385,9,1.03101,1.08667,3.36624,3.36624,-2.1112e-05,0,3.36624,1.145
8386,9,1.03287,1.08796,3.37432,3.37432,8.09419e-06,0,3.37432,1.135
8387,9,1.03505,1.08901,3.38306,3.38306,3.88312e-05,0,3.38306,1.125
8388,9,1.03735,1.08994,3.39204,3.39204,6.78842e-05,0,3.39204,1.115
8389,9,1.03954,1.09094,3.40075,3.40075,9.2669e-05,0,3.40075,1.105
8390,9,1.04144,1.09213,3.40883,3.40883,0.000111517,0,3.40883,1.095
8391,9,1.043,1.09354,3.41616,3.41616,0.00012374,0,3.41616,1.085
8392,9,1.04425,1.09517,3.4228,3.4228,0.000129527,0,3.4228,1.075
8393,9,1.04525,1.09697,3.42889,3.42889,0.00012972,0,3.42889,1.065
8394,9,1.04608,1.09889,3.43462,3.43462,0.000125542,0,3.43462,1.055
8395,9,1.04681,1.10089,3.44013,3.44013,0.000118335,0,3.44013,1.045
8396,9,1.04749,1.10292,3.44553,3.44553,0.000109358,0,3.44553,1.035
8397,9,1.04815,1.10496,3.45089,3.45089,9.96596e-05,0,3.45089,1.025
8398,9,1.0488,1.10701,3.45625,3.45625,9.00261e-05,0,3.45625,1.015
8399,9,1.04947,1.10906,3.46163,3.46163,8.09956e-05,0,3.46163,1.005
8400,9,1.05014,1.1111,3.46703,3.46703,7.29026e-05,0,3.46703,0.995
8401,9,1.05082,1.11314,3.47245,3.47245,6.5937e-05,0,3.47245,0.985
8402,9,1.05151,1.11516,3.4779,3.4779,6.01949e-05,0,3.4779,0.975
8403,9,1.05222,1.11717,3.48337,3.48337,5.57113e-05,0,3.48337,0.965
8404,9,1.05294,1.11917,3.48887,3.48887,5.24756e-05,0,3.48887,0.955
8405,9,1.05368,1.12114,3.4944,3.4944,5.04313e-05,0,3.4944,0.945
8406,9,1.05444,1.12309,3.49995,3.49995,4.94722e-05,0,3.49995,0.935
8407,9,1.05521,1.12502,3.50553,3.50553,4.94399e-05,0,3.50553,0.925
8408,9,1.056,1.12693,3.51113,3.51113,5.01289e-05,0,3.51113,0.915
8409,9,1.05681,1.12881,3.51676,3.51676,5.13008e-05,0,3.51676,0.905
8410,9,1.05764,1.13067,3.52242,3.52242,5.27043e-05,0,3.52242,0.895
8411,9,1.05849,1.13251,3.5281,3.5281,5.40979e-05,0,3.5281,0.885
8412,9,1.05935,1.13433,3.53382,3.53382,5.52704e-05,0,3.53382,0.875
8413,9,1.06023,1.13613,3.53957,3.53957,5.60552e-05,0,3.53957,0.865
8414,9,1.06113,1.13791,3.54534,3.54534,5.63363e-05,0,3.54534,0.855
8415,9,1.06205,1.13968,3.55115,3.55115,5.60482e-05,0,3.55115,0.845
8416,9,1.06298,1.14143,3.55699,3.55699,5.51689e-05,0,3.55699,0.835
8417,9,1.06392,1.14317,3.56286,3.56286,5.37111e-05,0,3.56286,0.825
8418,9,1.06488,1.14489,3.56876,3.56876,5.17133e-05,0,3.56876,0.815
8419,9,1.06586,1.1466,3.57469,3.57469,4.92318e-05,0,3.57469,0.805
8420,9,1.06684,1.14829,3.58064,3.58064,4.63358e-05,0,3.58064,0.795
8421,9,1.06784,1.14997,3.5866,3.5866,4.31036e-05,0,3.5866,0.785
8422,9,1.06884,1.15164,3.59258,3.59258,3.96197e-05,0,3.59258,0.775
8423,9,1.06985,1.15329,3.59856,3.59856,3.59729e-05,0,3.59856,0.765
8424,9,1.07087,1.15494,3.60455,3.60455,3.22522e-05,0,3.60455,0.755
